departamento,quebrada,distrito,longitud,latitud
PIURA,Quebradas Vichayito y Carrillo,LOS ORGANOS,-81.1112,-4.1526
PIURA,Qda. Cabo Blanco,MANCORA,-81.028,-4.1038
ANCASH,Qda. Rio Seco,COISHCO,-78.6156,-9.0212
LIMA,Qda. Quirio,CHOSICA,-76.7035,-11.9333
LIMA,Qda. Pedregal,CHOSICA,-76.7148,-11.9372
LIMA,Qda. Cashahuacra,CHOSICA,-76.6709,-11.9085
LIMA,Qda. California,CHOSICA,-76.7235,-11.9575
LIMA,Qda. Huascaran,CHACLACAYO,-76.7798,-11.9812
LIMA,Qda. Huaycoloro,CHOSICA,-76.9324,-12.0074
MOQUEGUA,Qda. Zaparo,ILO,-71.3387,-17.6
PIURA,Qda. El Ingenio,BUENOS AIRES,-79.9439,-5.2095
PIURA,Qda. Limon,CANCHAQUE,-79.6066,-5.3753
TACNA,Qda. El Diablo,ALTO DE LA ALIANZA,-70.2647,-17.9976
